,X,RespondentId,Enroll,Employ,Working,Hrs,Age,Ethnicity,Income,Classification,College,Commute,Alone,Dependents,HoH,Live,FedAid,PA,FreqNightElse,UTEPHomeless,Year,HH3,HH4,AD1,AD1a,AD2,AD3,index,Gender,USDAcat,YR_2019,YR_2020,YR_2021,YR_2022,Ethn_Hisp,Ethn_AIAN,Ethn_Asian,Ethn_Black,Ethn_NHPI,Ethn_White,Ethn_Other,Coll_BSN,Coll_EDU,Coll_ENGN,Coll_HS,Coll_LART,Coll_SCI,Coll_NRS,Coll_PHR,Coll_Other,Coll_NA,Gend_F,Gend_M,Gend_T,Gend_NC,Gend_Other,Gend_PNA,Gendercats
3343,3343,83073192,Part-time,Part-time,NA,NA,3,1,"Less than $10,000",Senior,1,Bus/Public transportation,No,None,No,Off campus with parents,Work-study,Yes,NA,No,2019,1,0,1,0,0,1,3,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3344,3344,83073193,Full-time,Part-time,NA,NA,3,6,"$10,000 to $19,999",Sophomore,3,Car (someone drives to campus and picks you up),No,2,Yes,Off campus with parents,Loans,No,Often,No,2019,1,1,1,1,1,0,5,NA,Very Low FS,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3346,3346,83073195,Full-time,Full-time,Off campus,More than 19 hours,2,1,"Less than $10,000",Senior,5,Bus/Public transportation,No,1,Yes,Off campus with parents,Loans,No,Often,No,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
3349,3349,83073215,Full-time,Full-time,On campus,19 hours or less,2,1,"$40,000 to $49,999",Freshman,3,Bike,No,None,No,Off campus with parents,Work-study,Yes,NA,No,2019,0,0,1,0,0,0,1,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3353,3353,83073242,Full-time,Full-time,On campus,19 hours or less,2,1,"Less than $10,000",Junior,5,Bus/Public transportation,No,None,No,Off campus with parents,Work-study,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
3354,3354,83073245,Full-time,Full-time,Off campus,19 hours or less,2,1,"$10,000 to $19,999",Senior,6,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,1,1,1,0,1,1,5,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
3356,3356,83073247,Part-time,Part-time,NA,NA,3,1,"$20,000 to $29,999",Senior,2,Car (someone drives to campus and picks you up),No,1,No,Off campus with partner,Loans,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3358,3358,83073253,Full-time,Part-time,NA,NA,2,1,"Less than $10,000",Junior,5,Bus/Public transportation,No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,1,0,0,NA,0,0,1,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
3360,3360,83073266,Full-time,Full-time,On campus,More than 19 hours,3,3,"$10,000 to $19,999",Doctoral,1,Car (someone drives to campus and picks you up),No,None,Yes,Off campus with partner,Work-study,No,Often,No,2019,1,1,0,NA,0,0,2,NA,Low FS,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3361,3361,83073270,Full-time,Full-time,Off campus,19 hours or less,2,1,"$10,000 to $19,999",Freshman,5,Car (someone drives to campus and picks you up),No,1,No,Off campus with parents,Loans,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
3363,3363,83073274,Full-time,Part-time,NA,NA,2,1,"$20,000 to $29,999",Senior,4,Car (alone),Yes,NA,No,On campus,Loans,Yes,NA,No,2019,1,1,1,1,1,0,5,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,NA
3364,3364,83073275,Full-time,Full-time,Off campus,More than 19 hours,2,1,"Less than $10,000",Sophomore,3,Trolley,No,None,No,Off campus with parents,Loans,No,Sometimes,No,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3368,3368,83073279,Full-time,Part-time,NA,NA,2,6,"$40,000 to $49,999",Senior,5,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,Yes,2019,0,1,1,1,0,1,4,NA,Low FS,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
3370,3370,83073293,Full-time,Full-time,On campus,19 hours or less,2,1,"$30,000 to $39,999",Senior,6,Car (someone drives to campus and picks you up),No,None,Yes,On campus,Loans,Yes,NA,No,2019,0,0,1,0,1,0,2,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
3372,3372,83073328,Full-time,Part-time,NA,NA,2,1,"$20,000 to $29,999",Freshman,1,Bus/Public transportation,No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3373,3373,83073330,Full-time,Full-time,Off campus,19 hours or less,2,1,"Less than $10,000",Junior,2,Trolley,No,None,No,Off campus with parents,Work-study,Yes,NA,No,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3377,3377,83073361,Part-time,Full-time,Off campus,More than 19 hours,3,1,"Less than $10,000",Senior,1,Trolley,No,None,No,Off campus with partner,Work-study,Yes,NA,Yes,2019,1,1,1,1,0,1,5,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3378,3378,83073362,Full-time,Full-time,Off campus,More than 19 hours,2,1,"$20,000 to $29,999",Junior,4,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,No,Often,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,NA
3381,3381,83073365,Full-time,Part-time,NA,NA,2,1,"$10,000 to $19,999",Sophomore,6,Car (alone),No,None,No,On campus,Work-study,Yes,NA,Yes,2019,0,1,0,NA,1,0,2,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
3383,3383,83073387,Part-time,Full-time,Off campus,19 hours or less,3,1,"Less than $10,000",Senior,5,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,No,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
3385,3385,83073390,Full-time,Full-time,On campus,19 hours or less,2,1,"$10,000 to $19,999",Junior,1,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Grants,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3389,3389,83073421,Full-time,Full-time,Off campus,19 hours or less,2,1,"Less than $10,000",Freshman,5,Car (alone),No,None,No,On campus,Loans,No,Rarely,No,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
3393,3393,83073450,Full-time,Full-time,Off campus,More than 19 hours,5,1,"$40,000 to $49,999",Graduate (Masters),5,Car (someone drives to campus and picks you up),No,2,Yes,Off campus with parents,Work-study,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
3395,3395,83073460,Part-time,Full-time,Off campus,More than 19 hours,3,1,"$30,000 to $39,999",Senior,1,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Grants,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3397,3397,83073466,Full-time,Part-time,NA,NA,2,6,"Less than $10,000",Sophomore,5,Bike,No,None,No,Off campus with partner,Work-study,Yes,NA,Yes,2019,1,1,1,1,1,0,5,NA,Very Low FS,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
3399,3399,83073486,Full-time,Full-time,Off campus,19 hours or less,2,1,"Less than $10,000",Junior,6,Bike,No,None,No,Off campus with parents,Work-study,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
3401,3401,83073490,Full-time,Full-time,Off campus,More than 19 hours,2,1,"$20,000 to $29,999",Junior,7,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,NA
3404,3404,83073498,Full-time,Full-time,Off campus,More than 19 hours,2,1,"$30,000 to $39,999",Sophomore,6,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,1,1,1,1,0,0,4,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
3407,3407,83073506,Full-time,Full-time,Off campus,19 hours or less,4,1,"Less than $10,000",Sophomore,6,Car (someone drives to campus and picks you up),No,None,Yes,Off campus with partner,Loans,Yes,NA,No,2019,1,1,1,1,0,1,5,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
3409,3409,83073510,Part-time,Part-time,NA,NA,3,4,"Less than $10,000",Senior,6,Trolley,No,1,Yes,Off campus with parents,Loans,Yes,NA,Yes,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
3412,3412,83073517,Full-time,Full-time,Off campus,More than 19 hours,2,1,"$30,000 to $39,999",Senior,1,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3413,3413,83073522,Full-time,Full-time,On campus,More than 19 hours,2,3,"$10,000 to $19,999",Doctoral,3,Car (someone drives to campus and picks you up),Yes,NA,Yes,Off campus with partner,Work-study,Yes,NA,No,2019,1,1,1,0,1,1,5,NA,Very Low FS,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3420,3420,83073562,Full-time,Part-time,NA,NA,2,1,"$40,000 to $49,999",Junior,7,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,No,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,NA
3422,3422,83073568,Full-time,Full-time,On campus,19 hours or less,2,1,"$40,000 to $49,999",Junior,3,"Not applicable (live on-campus, don’t commute)",No,None,No,Off campus with partner,Work-study,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3424,3424,83073578,Part-time,Full-time,Off campus,More than 19 hours,3,1,"Less than $10,000",Freshman,6,Car (someone drives to campus and picks you up),Yes,NA,Yes,Off campus with partner,Grants,Yes,NA,Yes,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
3425,3425,83073581,Full-time,Full-time,On campus,19 hours or less,2,1,"$10,000 to $19,999",Sophomore,6,Car (someone drives to campus and picks you up),Yes,NA,Yes,Off campus with partner,Loans,No,Sometimes,No,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
3426,3426,83073584,Full-time,Full-time,On campus,More than 19 hours,2,4,"Less than $10,000",Graduate (Masters),6,Other,Yes,NA,Yes,Off campus with partner,Work-study,No,Often,No,2019,0,0,1,0,0,0,1,NA,Marginal/High FS,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
3428,3428,83073601,Full-time,Part-time,NA,NA,2,6,"$10,000 to $19,999",Junior,6,Car (someone drives to campus and picks you up),Yes,NA,Yes,Off campus with partner,Work-study,Yes,NA,Yes,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
3430,3430,83073612,Full-time,Part-time,NA,NA,2,1,"$20,000 to $29,999",Senior,3,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,0,1,1,1,1,1,5,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3432,3432,83073633,Full-time,Full-time,Off campus,19 hours or less,2,7,"$20,000 to $29,999",Senior,7,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,No,2019,1,0,1,0,0,1,3,NA,Low FS,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,NA
3434,3434,83073639,Full-time,Full-time,Off campus,More than 19 hours,2,6,"$40,000 to $49,999",Graduate (Masters),5,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,Yes,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
3440,3440,83073679,Part-time,Part-time,NA,NA,2,1,"$40,000 to $49,999",Freshman,3,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3442,3442,83073685,Full-time,Full-time,On campus,19 hours or less,2,1,"$10,000 to $19,999",Senior,6,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,Yes,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
3444,3444,83073696,Full-time,Full-time,On campus,More than 19 hours,2,1,"$10,000 to $19,999",Senior,3,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,0,1,0,NA,0,0,1,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3445,3445,83073702,Full-time,Full-time,On campus,More than 19 hours,3,3,"$10,000 to $19,999",Graduate (Masters),6,Trolley,No,None,Yes,Off campus with parents,Work-study,Yes,NA,No,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
3447,3447,83073718,Full-time,Full-time,On campus,19 hours or less,2,1,"$20,000 to $29,999",Senior,6,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Scholarship,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
3449,3449,83073722,Full-time,Full-time,Off campus,19 hours or less,4,1,"Less than $10,000",Sophomore,5,Walk,No,None,No,Off campus with partner,Loans,Yes,NA,Yes,2019,1,1,1,1,1,0,5,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
3450,3450,83073723,Full-time,Full-time,On campus,More than 19 hours,3,1,NA,Graduate (Masters),4,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,NA
3455,3455,83073749,Full-time,Full-time,On campus,19 hours or less,2,1,"Less than $10,000",Graduate (Masters),6,Car (someone drives to campus and picks you up),No,None,No,Off campus with partner,Grants,Yes,NA,No,2019,0,1,1,0,1,0,3,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
3457,3457,83073761,Full-time,Part-time,NA,NA,5,6,"$30,000 to $39,999",Senior,5,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
3460,3460,83073792,Full-time,Full-time,On campus,19 hours or less,3,1,"Less than $10,000",Junior,3,Car (someone drives to campus and picks you up),No,None,No,Off campus with partner,Emergency Loan,No,Often,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3463,3463,83073801,Part-time,Full-time,Off campus,More than 19 hours,2,1,"$10,000 to $19,999",Graduate (Masters),5,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,No,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
3464,3464,83073803,Full-time,Full-time,On campus,More than 19 hours,3,1,"$40,000 to $49,999",Graduate (Masters),4,Car (someone drives to campus and picks you up),No,None,Yes,Off campus with parents,Grants,Yes,NA,Yes,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,NA
3466,3466,83073862,Full-time,Full-time,Off campus,More than 19 hours,2,1,"$10,000 to $19,999",Senior,2,Bus/Public transportation,No,None,No,Off campus with parents,Loans,Yes,NA,Yes,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3468,3468,83073870,Full-time,Part-time,NA,NA,2,1,"$40,000 to $49,999",Senior,6,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
3470,3470,83073874,Full-time,Full-time,On campus,19 hours or less,2,1,"$30,000 to $39,999",Senior,3,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3472,3472,83073896,Full-time,Full-time,On campus,19 hours or less,2,1,"$30,000 to $39,999",Graduate (Masters),3,Car (someone drives to campus and picks you up),No,None,Yes,Off campus with partner,Scholarship,Yes,NA,No,2019,0,1,1,0,1,0,3,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3474,3474,83073904,Full-time,Part-time,NA,NA,2,1,"$40,000 to $49,999",Junior,1,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Grants,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3478,3478,83073955,Full-time,Full-time,On campus,19 hours or less,2,1,NA,Senior,6,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Grants,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
3480,3480,83073961,Part-time,Full-time,On campus,19 hours or less,3,1,"Less than $10,000",Senior,6,Car (someone drives to campus and picks you up),Yes,NA,Yes,Off campus with partner,Loans,Yes,NA,No,2019,1,1,0,NA,0,0,2,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
3482,3482,83073967,Full-time,Full-time,On campus,19 hours or less,2,1,"Less than $10,000",Senior,6,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,1,1,0,NA,0,0,2,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
3485,3485,83073976,Full-time,Full-time,Off campus,More than 19 hours,3,7,"Less than $10,000",Graduate (Masters),4,Car (someone drives to campus and picks you up),Yes,NA,Yes,Off campus with partner,Scholarship,Yes,NA,Yes,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,NA
3486,3486,83073981,Part-time,Part-time,NA,NA,1,1,"Less than $10,000",Freshman,2,Trolley,No,None,No,Off campus with parents,Work-study,No,Often,No,2019,0,1,0,NA,0,0,1,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3489,3489,83074112,Full-time,Part-time,NA,NA,2,6,"Less than $10,000",Senior,4,Car (someone drives to campus and picks you up),No,None,No,Off campus with partner,Work-study,No,Often,Yes,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,NA
3493,3493,83074279,Full-time,Full-time,Off campus,19 hours or less,2,1,"$40,000 to $49,999",Junior,1,Car (someone drives to campus and picks you up),Yes,NA,No,Off campus with partner,Grants,Yes,NA,No,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3494,3494,83074281,Full-time,Part-time,NA,NA,2,1,NA,Freshman,5,Bus/Public transportation,No,3,No,Off campus with parents,Grants,NA,NA,No,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
3497,3497,83074285,Full-time,Full-time,On campus,19 hours or less,2,1,"$10,000 to $19,999",Graduate (Masters),3,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Grants,Yes,NA,Yes,2019,1,1,0,NA,0,0,2,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3500,3500,83074293,Full-time,Part-time,NA,NA,5,7,"Less than $10,000",Senior,9,Car (someone drives to campus and picks you up),Yes,NA,Yes,Off campus with partner,Work-study,Yes,NA,No,2019,1,1,0,NA,0,0,2,NA,Low FS,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,NA
3503,3503,83074322,Full-time,Part-time,NA,NA,2,1,"Less than $10,000",Senior,1,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Scholarship,Yes,NA,No,2019,1,1,1,1,0,0,4,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3505,3505,83074329,Part-time,Full-time,Off campus,More than 19 hours,3,1,"$40,000 to $49,999",Junior,1,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
3507,3507,83074385,Full-time,Part-time,NA,NA,2,1,"$30,000 to $39,999",Sophomore,5,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,1,1,1,0,1,1,5,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
3509,3509,83074393,Full-time,Full-time,On campus,19 hours or less,2,1,"$40,000 to $49,999",Senior,5,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Grants,Yes,NA,Yes,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
3510,3510,83074401,Full-time,Full-time,On campus,19 hours or less,2,1,"$30,000 to $39,999",Senior,4,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Grants,Yes,NA,Yes,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,NA
3514,3514,83074426,Full-time,Full-time,On campus,19 hours or less,2,4,"Less than $10,000",Graduate (Masters),6,Other,No,None,No,Off campus with partner,Work-study,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
