RespondentId,Q23. In the past 12 months have you had a permanent address?,"Q27_1:Supplemental Nutrition Assistance Program (SNAP) also known as Food StampsA program, which provides nutrition, benefits to supplement the food budget of needy families so they can purchase healthy food and move towards self-sufficiency. (fns.usda.gov)","Q27_2:Temporary Assistance for Needy Families (TANF)A program, which provides families with monthly cash/financial assistance and support services. May include childcare, job preparation, and work assistance. (benefits.gov)","Q27_3:Women Infant and Children (WIC)A program provides foods, health referrals, and nutrition education for low-income women, infants, and children up to age five who are at nutritional risk. (fns.usda.gov)","Q27_4:MedicaidA health insurance program, which provides coverage to eligible low-income adults, children, pregnant women, elderly, and people with disabilities. (medicaid.gov)","Q27_5:Social Security Income (SSI)Monthly benefits to people with limited income and resources who are disabled, blind, or age 65 or older. (ssa.gov)","Q27_6:Military/Veteran ServicesBenefits such as financial and other forms of assistance provided to veterans, their dependents, and survivors. (va.gov)",Q27_7:Unemployment BenefitsFinancial support for individuals that lost their job and meet eligibility requirements. (twc.texas.gov),Q27_8:None,Q27_9:Other,Q29_1:Free emergency food,Q29_2:Free emergency rent assistance,"Q29_3:Free guidance to apply for government food programs (SNAP, WIC, etc)","Q29_4:Free guidance to apply for government housing programs (rent assistance, etc)","Q29_5:Free guidance to apply for other government programs (TANF, etc)",Q29_6:Dont Know Any,Q30_1:Free emergency food,Q30_2:Free emergency rent assistance,"Q30_3:Free guidance to apply for government food programs (SNAP, WIC, etc)","Q30_4:Free guidance to apply for government housing programs (rent assistance, etc)","Q30_5:Free guidance to apply for other government programs (TANF, etc)",Q30_6:None,"Q31. For UTEP students, how difficult is it to get emergency food assistance?",Q32_1:Lack of information (it's not clear which sites offer emergency food assistance),Q32_2:Lack of transportation,Q32_3:The sites are located too far away,Q32_4:The sites have inconvenient hours of operation,Q32_5:It is too uncomfortable to pick up emergency food assistance,Q32_6:None,Q34_1:UTEP Food Pantry,Q34_2:Kelly Center for Hunger Relief,Q34_3:El Pasoans Fighting Hunger Food Bank,Q34_4:Another food pantry or food bank,"Q41. How often have you found it difficult to concentrate on your schoolwork because you are worried about paying for food, rent, transportation, or other necessities?","Q42. Have you had to delay the completion of your degree, because you did not have enough money for food, rent, transportation or other necessities?","Q43. How often do you think about delaying the completion of your degree, because you do not have enough money for food, rent, transportation or other necessities?","Q46. In general, how would you rate your mental health, including your mood and your ability to think?","Q48. During the past 12 months, how often did you do each of the following? Mark one answer in each row. - Attended a protest or rally","Q49. During the past 12 months, how often did you do each of the following? Mark one answer in each row. - Attended a meeting about an issue facing your local community or schools","Q50. During the past 12 months, how often did you do each of the following? Mark one answer in each row. - Wrote and posted political messages online","Q51. During the past 12 months, how often did you do each of the following? Mark one answer in each row. - Bought or avoided a product because of the company's social or political values",PermAdd,GovAss,AvailRes,MoreAvailRes,DiffLvlFA,ChallFA,EmergFood,DiffConcentrate,DelayComplDegree,TimeDelayComplDegree,RateMentalHealth,AttendProtest,AttendLocalComm,PoliticMess,CompValues
95799835,1,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,5,NA,NA,2,NA,4,NA,NA,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,4,3,3,2,1,1,1,1,Yes,15,5,2 4,Moderately difficult,4,,Never,No,Never,Vert Good,Never,Never,Never,Never
95799837,1,1,NA,NA,NA,9,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,3,1,2,3,4,5,NA,NA,NA,NA,4,3,3,2,5,1,1,1,1,Yes,1 9,1,3 4,A little difficult,1 2 3 4 5,4,About once a month,No,Sometimes,Poor,Never,Never,Never,Never
95799839,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,NA,2,3,4,5,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,1,1,1,4,Yes,15,1,2 3 4 5,Moderately difficult,1,,About once a week,No,Sometimes,Good,Never,Never,Never,Several times
95799843,1,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,1,1,1,1,Yes,15,5,4,A little difficult,3,,Never,No,Never,Good,Never,Never,Never,Never
95799845,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,2,3,4,5,NA,1,2,3,4,5,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,4,3,3,2,1,1,1,1,Yes,15,1 2 3 4 5,1 2 3 4 5,A little difficult,4,,Never,No,Never,Vert Good,Never,Never,Never,Never
95799853,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,2,3,4,5,NA,1,2,NA,4,NA,NA,3,1,2,3,NA,5,NA,NA,NA,NA,NA,2,3,2,5,1,1,1,3,Yes,15,1 2 3 4 5,1 2 4,A little difficult,1 2 3 5,,About once a week,No,Sometimes,Poor,Never,Never,Never,A few times
95799854,1,1,NA,NA,NA,NA,NA,13,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,4,5,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,1,1,1,1,Yes,1 13,1,3 4 5,Moderately difficult,1,,About once a month,"Yes, by 1 semester",Sometimes,Vert Good,Never,Never,Never,Never
95799859,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,1,2,3,NA,NA,NA,NA,2,NA,NA,3,3,2,4,1,1,1,1,Yes,15,1,2,Moderately difficult,1 2 3,2,About once a month,No,Sometimes,Fair,Never,Never,Never,Never
95799861,1,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,2,3,4,5,NA,NA,2,3,4,5,NA,4,1,2,NA,4,NA,NA,NA,NA,NA,NA,3,3,3,3,1,1,1,1,Yes,15,2 3 4 5,2 3 4 5,Not difficult at all,1 2 4,,About once a month,No,Never,Good,Never,Never,Never,Never
95799869,1,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,5,NA,3,1,NA,NA,NA,5,NA,NA,NA,NA,4,1,2,1,5,1,1,1,1,Yes,15,5,2 5,A little difficult,1 5,4,Almost every day,"Yes, by 1 semester",Often,Poor,Never,Never,Never,Never
95799870,1,NA,NA,NA,7,9,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,4,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,3,NA,3,3,1,4,1,1,1,1,Yes,7 9,2,2 4,A little difficult,3,3,About once a month,No,Often,Fair,Never,Never,Never,Never
95799871,1,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,3,4,5,NA,1,2,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,1,1,1,1,Yes,7,3 4 5,1 2,A little difficult,1,,Never,No,Never,Fair,Never,Never,Never,Never
95799874,1,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,3,NA,NA,NA,1,2,NA,NA,NA,NA,1,1,2,3,4,NA,NA,NA,NA,NA,NA,2,3,2,3,1,4,3,3,Yes,15,3,1 2,Very difficult,1 2 3 4,,About once a week,No,Sometimes,Good,Never,Several times,A few times,A few times
95799875,2,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,NA,2,3,4,5,NA,2,1,2,3,4,NA,NA,1,NA,NA,4,2,3,2,4,3,3,3,3,No,15,1,2 3 4 5,Moderately difficult,1 2 3 4,1 4,About once a week,No,Sometimes,Fair,A few times,A few times,A few times,A few times
95799880,1,1,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,3,4,5,NA,1,2,3,4,5,NA,1,1,2,3,4,5,NA,NA,NA,NA,NA,2,3,3,2,1,1,1,1,Yes,1 7,3 4 5,1 2 3 4 5,Very difficult,1 2 3 4 5,,About once a week,No,Never,Vert Good,Never,Never,Never,Never
95799881,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,NA,2,3,4,5,NA,3,1,NA,3,4,5,NA,NA,NA,NA,NA,3,3,2,3,1,1,1,1,Yes,15,1,2 3 4 5,A little difficult,1 3 4 5,,About once a month,No,Sometimes,Good,Never,Never,Never,Never
95799884,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,1,NA,3,NA,5,NA,NA,NA,NA,NA,3,3,3,3,1,1,1,4,Yes,15,1,2,Moderately difficult,1 3 5,,About once a month,No,Never,Good,Never,Never,Never,Several times
95799886,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,3,NA,NA,NA,NA,Yes,15,1,2 3,Moderately difficult,1,,Almost every day,No,Sometimes,Good,NA,NA,NA,NA
95799890,1,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,1,2,1,4,Yes,15,5,5,Very difficult,1,,Almost every day,"Yes, by 2 semesters or more",Often,Poor,Never,Once,Never,Several times
95799896,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,1,1,1,1,Yes,15,1,3 4,A little difficult,1,,Never,No,Never,Good,Never,Never,Never,Never
95799908,1,1,NA,NA,7,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2,3,4,5,NA,1,1,NA,NA,4,5,NA,NA,NA,3,NA,4,3,3,1,1,1,1,1,Yes,1 7,2,1 2 3 4 5,Very difficult,1 4 5,3,Never,No,Never,Excellent,Never,Never,Never,Never
95799912,1,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,2,NA,4,NA,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,4,3,2,2,3,1,1,1,1,Yes,15,2 4,1 3,Moderately difficult,5,4,About once a month,"Yes, by 1 semester",Sometimes,Good,Never,Never,Never,Never
95799913,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,3,4,NA,NA,NA,2,NA,NA,5,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,1,1,1,1,Yes,15,1 3 4,2 5,A little difficult,1,,About once a month,No,Never,Vert Good,Never,Never,Never,Never
95799918,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,2,3,4,5,NA,1,2,NA,NA,NA,NA,2,1,NA,3,4,5,NA,NA,NA,NA,NA,2,3,2,4,1,1,1,2,Yes,15,1 2 3 4 5,1 2,Moderately difficult,1 3 4 5,,About once a week,No,Sometimes,Fair,Never,Never,Never,Once
95799919,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,4,5,NA,NA,2,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,1,1,1,1,1,Yes,15,1 4 5,2,Not difficult at all,1,,Never,No,Never,Excellent,Never,Never,Never,Never
95799922,1,NA,NA,NA,NA,NA,11,NA,NA,NA,1,NA,3,NA,NA,NA,1,2,3,4,5,NA,3,1,2,NA,NA,5,NA,NA,NA,NA,NA,1,2,2,5,2,1,3,4,Yes,11,1 3,1 2 3 4 5,A little difficult,1 2 5,,Almost every day,"Yes, by 1 semester",Sometimes,Poor,Once,Never,A few times,Several times
95799923,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,1,2,3,4,5,NA,2,1,2,3,NA,5,NA,NA,NA,NA,4,4,3,2,5,1,1,1,2,Yes,15,1,1 2 3 4 5,Moderately difficult,1 2 3 5,4,Never,No,Sometimes,Poor,Never,Never,Never,Once
95799926,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,2,NA,NA,5,NA,NA,2,NA,4,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,3,2,1,1,Yes,15,1 2 5,2 4,Not difficult at all,1,,About once a week,No,Never,Vert Good,A few times,Once,Never,Never
95799927,2,NA,NA,NA,NA,NA,NA,13,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2,1,2,NA,NA,NA,NA,1,NA,NA,NA,2,3,2,5,3,4,1,4,No,13,1,4,Moderately difficult,1 2,1,About once a week,No,Sometimes,Poor,A few times,Several times,Never,Several times
95799932,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,2,3,4,NA,NA,1,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,4,3,2,2,5,Yes,15,1 2 3 4,1 2,Moderately difficult,1,,About once a week,"Yes, by 1 semester",Often,Fair,A few times,Once,Once,A lot
95799933,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,NA,2,3,4,5,NA,3,1,NA,NA,NA,5,NA,NA,NA,NA,NA,2,3,2,3,2,2,2,1,Yes,15,1,2 3 4 5,A little difficult,1 5,,About once a week,No,Sometimes,Good,Once,Once,Once,Never
95799937,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,NA,2,3,4,5,NA,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,NA,NA,NA,NA,NA,Yes,15,1,2 3 4 5,Not difficult at all,1 2,,About once a week,No,Never,NA,NA,NA,NA,NA
95799939,1,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,2,3,4,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,1,1,1,3,Yes,7,5,1 2 3 4 5,Very difficult,1,,Never,No,Never,Good,Never,Never,Never,A few times
95799942,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,4,5,NA,NA,2,3,NA,NA,NA,3,1,NA,3,NA,5,NA,NA,NA,NA,NA,4,3,3,4,1,1,1,1,Yes,15,1 4 5,2 3,A little difficult,1 3 5,,Never,No,Never,Fair,Never,Never,Never,Never
95799943,1,NA,NA,NA,NA,NA,11,NA,NA,NA,1,NA,3,4,NA,NA,NA,2,3,NA,NA,NA,3,1,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,11,1 3 4,2 3,A little difficult,1 3 4,,NA,NA,NA,NA,NA,NA,NA,NA
95799945,1,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,3,4,5,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,3,3,3,1,Yes,11,4 5,3 4 5,Moderately difficult,1,,Never,No,Never,Fair,A few times,A few times,A few times,Never
95799948,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,3,4,NA,NA,1,2,NA,4,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,5,2,3,1,3,Yes,15,1 3 4,1 2 4,Moderately difficult,1,,Never,No,Sometimes,Poor,Once,A few times,Never,A few times
95799951,1,NA,NA,NA,NA,NA,11,NA,NA,NA,1,2,3,4,5,NA,NA,NA,3,4,5,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,1,3,1,1,Yes,11,1 2 3 4 5,3 4 5,Moderately difficult,1,,About once a week,No,Never,Good,Never,A few times,Never,Never
95799955,1,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,1,1,1,1,Yes,15,5,5,Moderately difficult,1,,About once a week,No,Never,Good,Never,Never,Never,Never
95799956,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,1,2,3,4,5,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,1,2,3,5,Yes,15,1,1 2 3 4 5,A little difficult,1,,Never,No,Never,Fair,Never,Once,A few times,A lot
95799965,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,1,1,1,3,Yes,15,1,4 5,A little difficult,1,,About once a month,No,Never,Vert Good,Never,Never,Never,A few times
95799972,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,2,3,4,3,Yes,15,1 5,4,Moderately difficult,1,,Never,No,Never,Fair,Once,A few times,Several times,A few times
95799973,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,NA,2,3,4,5,NA,4,1,2,3,NA,NA,NA,1,NA,NA,NA,3,3,2,4,1,2,1,1,Yes,15,1,2 3 4 5,Not difficult at all,1 2 3,1,About once a month,No,Sometimes,Fair,Never,Once,Never,Never
95799975,1,1,NA,NA,NA,9,NA,NA,NA,NA,1,2,3,NA,NA,NA,1,2,3,4,5,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,3,1,1,1,1,Yes,1 9,1 2 3,1 2 3 4 5,A little difficult,1,4,About once a month,No,Never,Good,Never,Never,Never,Never
95799980,1,1,NA,NA,7,NA,NA,13,NA,NA,1,NA,NA,NA,NA,NA,NA,2,3,4,5,NA,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,4,1,1,1,3,Yes,1 7 13,1,2 3 4 5,Not difficult at all,1 2,,About once a week,No,Never,Fair,Never,Never,Never,A few times
95799983,1,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,5,NA,1,2,3,4,5,NA,2,1,NA,NA,NA,NA,NA,NA,NA,3,NA,4,3,3,4,1,1,1,1,Yes,15,5,1 2 3 4 5,Moderately difficult,1,3,Never,No,Never,Fair,Never,Never,Never,Never
95799985,1,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,NA,NA,3,1,NA,NA,NA,5,NA,NA,NA,NA,NA,4,3,3,2,1,3,1,3,Yes,15,5,2,A little difficult,1 5,,Never,No,Never,Vert Good,Never,A few times,Never,A few times
95799987,1,1,NA,5,7,NA,NA,NA,NA,NA,NA,NA,3,4,5,NA,1,2,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,1,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1 5 7,3 4 5,1 2,A little difficult,1,1 3 4,NA,NA,NA,NA,NA,NA,NA,NA
95799988,2,NA,NA,NA,NA,NA,NA,NA,15,NA,1,2,NA,NA,NA,NA,NA,NA,3,4,5,NA,3,1,NA,NA,NA,5,NA,NA,NA,NA,NA,4,3,3,4,1,1,NA,3,No,15,1 2,3 4 5,A little difficult,1 5,,Never,No,Never,Fair,Never,Never,NA,A few times
95799990,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,3,NA,NA,NA,1,NA,NA,NA,5,NA,4,NA,2,NA,NA,5,NA,NA,NA,NA,NA,4,3,3,1,1,1,1,1,Yes,15,1 3,1 5,Not difficult at all,2 5,,Never,No,Never,Excellent,Never,Never,Never,Never
95799996,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,2,3,NA,NA,NA,1,2,3,NA,NA,NA,1,NA,NA,3,NA,5,NA,NA,NA,3,NA,3,2,2,4,3,3,3,3,Yes,15,1 2 3,1 2 3,Very difficult,3 5,3,About once a month,"Yes, by 1 semester",Sometimes,Fair,A few times,A few times,A few times,A few times
95799997,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2,NA,4,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,2,3,1,3,Yes,1,5,2 4,Very difficult,1,,About once a month,No,Never,Fair,Once,A few times,Never,A few times
95800003,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,3,1,NA,NA,NA,5,NA,1,NA,3,NA,1,3,3,4,1,1,1,1,Yes,15,1 3,2,A little difficult,1 5,1 3,Almost every day,No,Never,Fair,Never,Never,Never,Never
95800005,1,1,NA,NA,7,9,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,3,4,5,NA,2,1,NA,NA,NA,NA,NA,1,2,3,NA,1,2,2,5,1,1,2,1,Yes,1 7 9,1,1 2 3 4 5,Moderately difficult,1,1 2 3,Almost every day,"Yes, by 1 semester",Sometimes,Poor,Never,Never,Once,Never
95800006,1,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,3,NA,5,NA,1,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,1,1,1,1,Yes,15,3 5,1 2,Moderately difficult,1,,Never,No,Never,Good,Never,Never,Never,Never
95800013,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,NA,2,3,4,5,NA,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,4,3,3,1,1,1,1,1,Yes,15,1,2 3 4 5,Moderately difficult,1 2 3,,Never,No,Never,Excellent,Never,Never,Never,Never
95800016,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,1,2,3,4,5,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,4,1,3,1,4,2,2,1,5,Yes,15,1,1 2 3 4 5,A little difficult,1,4,Almost every day,No,Often,Fair,Once,Once,Never,A lot
95800020,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,3,NA,NA,NA,1,2,3,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,3,2,1,1,1,2,Yes,15,1 3,1 2 3,Not difficult at all,1,4,About once a week,No,Never,Vert Good,Never,Never,Never,Once
95800027,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,1,2,3,4,NA,NA,2,1,NA,NA,NA,5,NA,NA,NA,NA,NA,2,2,1,4,1,1,1,5,Yes,15,1,1 2 3 4,Moderately difficult,1 5,,About once a week,"Yes, by 1 semester",Often,Fair,Never,Never,Never,A lot
95800031,1,1,NA,NA,7,NA,NA,13,NA,NA,NA,NA,NA,NA,5,NA,1,2,3,NA,5,NA,1,1,NA,3,NA,NA,NA,NA,NA,3,4,2,2,1,3,2,3,3,2,Yes,1 7 13,5,1 2 3 5,Very difficult,1 3,3 4,About once a week,"Yes, by 1 semester",Often,Good,Once,A few times,A few times,Once
95800033,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,2,3,4,NA,NA,1,2,3,4,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,2,1,1,4,Yes,15,1 2 3 4,1 2 3 4,Moderately difficult,1,,Never,No,Never,Good,Once,Never,Never,Several times
95800041,1,NA,NA,NA,7,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,3,4,5,NA,2,1,2,3,4,5,NA,NA,NA,3,NA,3,3,3,5,1,1,1,1,Yes,7,1,1 2 3 4 5,Moderately difficult,1 2 3 4 5,3,About once a month,No,Never,Poor,Never,Never,Never,Never
95800044,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,1,2,3,4,5,NA,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,3,3,3,4,1,3,1,2,Yes,15,1,1 2 3 4 5,A little difficult,1,1,About once a month,No,Never,Fair,Never,A few times,Never,Once
95800049,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,3,4,5,NA,1,NA,3,NA,NA,NA,2,1,2,NA,NA,5,NA,NA,NA,NA,NA,4,3,3,4,1,4,1,1,Yes,15,1 3 4 5,1 3,Moderately difficult,1 2 5,,Never,No,Never,Fair,Never,Several times,Never,Never
95800050,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,1,NA,3,4,5,NA,3,1,2,NA,NA,NA,NA,NA,NA,3,4,4,3,3,3,1,1,1,1,Yes,15,1,1 3 4 5,A little difficult,1 2,3 4,Never,No,Never,Good,Never,Never,Never,Never
95800053,1,NA,NA,5,7,NA,11,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,3,4,5,NA,3,NA,NA,3,4,5,NA,NA,NA,NA,NA,3,3,3,4,1,1,1,3,Yes,5 7 11,1,2 3 4 5,A little difficult,3 4 5,,About once a month,No,Never,Fair,Never,Never,Never,A few times
95800058,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,4,NA,NA,1,NA,NA,4,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,2,1,1,1,2,Yes,1,1 3 4,1 4,Moderately difficult,1,4,About once a month,No,Never,Vert Good,Never,Never,Never,Once
95800062,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,3,NA,2,3,3,5,2,2,2,2,Yes,1,3,3,Moderately difficult,3,3,About once a week,No,Never,Poor,Once,Once,Once,Once
95800070,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,4,1,1,1,1,Yes,15,1,1,A little difficult,1,4,Never,No,Never,Fair,Never,Never,Never,Never
95800079,1,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,5,NA,NA,NA,3,4,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,1,1,1,1,Yes,15,5,3 4,Moderately difficult,1,,About once a month,No,Sometimes,Good,Never,Never,Never,Never
95800080,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,3,NA,5,NA,NA,2,NA,4,NA,NA,4,1,2,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,3,3,1,1,Yes,15,1 3 5,2 4,Not difficult at all,1 2 3,,About once a month,No,Never,Fair,A few times,A few times,Never,Never
95800086,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,5,NA,NA,NA,NA,NA,3,3,2,3,1,1,1,1,Yes,15,1 3,1,Moderately difficult,1 5,,About once a month,No,Sometimes,Good,Never,Never,Never,Never
95800088,1,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,3,1,NA,3,NA,NA,NA,1,NA,NA,NA,2,3,2,3,1,1,1,3,Yes,15,1,3 4,A little difficult,1 3,1,About once a week,No,Sometimes,Good,Never,Never,Never,A few times
95800095,2,1,NA,NA,7,NA,NA,13,NA,16,1,NA,3,NA,NA,NA,1,2,NA,NA,5,NA,2,1,NA,NA,4,5,NA,1,NA,3,NA,3,3,3,4,1,3,3,1,No,1 7 13 16,16 1 3,1 2 5,Moderately difficult,1 4 5,1 3,About once a month,No,Never,Fair,Never,A few times,A few times,Never
95800097,1,NA,NA,NA,7,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,2,NA,4,NA,NA,4,NA,NA,3,NA,NA,NA,NA,NA,NA,4,2,3,3,2,1,2,1,1,Yes,7,1 2,1 2 4,Not difficult at all,3,4,About once a week,No,Never,Vert Good,Never,Once,Never,Never
